"created
_at",Kwh,vry,vyb,vbr,vrn,vyn,vbn,ir,iy,ib
"2019-09-
16T13:3
0:00.000
Z","0.02169
921999
999496
8",404,"0.00781
25",404,234,235,234,2.1875,2.25,2.53125
"2019-09-
16T13:3
2:00.000
Z","0.04301
589999
999851",404,"2.19817
443603
76776e-
36",402,232,234,234,"2.14062
5",2.3125,"2.54687
5"
"2019-09-
16T13:3
3:00.000
Z",0,404,"2.19817
443603
76776e-
36",402,232,234,234,"2.14062
5",2.3125,"2.54687
5"
"2019-09-
16T13:3
5:00.000
Z","0.02183
520000
000135
2",402,"0.00775
146484
375",402,232,233,233,"2.17187
5",2.28125,2.625
"2019-09-
16T13:3
7:00.000
Z","0.02186
285999
999381
5",402,"0.00756
835937
5",404,232,234,233,2.21875,"2.39062
5","2.35937
5"
"2019-09-
16T13:3
9:00.000
Z","0.02158
848000
00058",402,"0.00753
784179
6875",402,232,233,232,"2.20312
5","2.35937
5","2.32812
5"
"2019-09-
16T13:4
0:00.000
Z","0.02151
699999
999255",400,"0.00732
421875",400,230,233,232,2.21875,"2.29687
5","2.57812
5"
"2019-09-
16T13:4
2:00.000
Z","0.02132
908000
001043
6",400,"0.00759
887695
3125","2.29221
398410
34606e-
36",231,233,231,2.15625,"2.26562
5",2.53125
"2019-09-
16T13:4
4:00.000
Z","0.02149
843999
999575
4",398,"0.00762
939453
125",398,229,233,231,2.15625,"2.29687
5","2.57812
5"
"2019-09-
16T13:4
5:00.000
Z","0.02166
289999
999571
8",398,"0.00735
473632
8125",400,231,233,231,"2.23437
5","2.29687
5","2.54687
5"
"2019-09-
16T13:4
7:00.000
Z","0.02140
332000
001217",400,"0.00732
421875",402,231,233,232,2.1875,"2.23437
5",2.625
"2019-09-
16T13:4
9:00.000
Z","0.02152
353999
999468
2",400,"0.00732
421875",400,229,234,232,2.25,2.375,2.40625
"2019-09-
16T13:5","0.02121
425999",400,"0.00729
370117",398,230,"2.29221
398410",231,"2.23437
5","2.23437
5","2.70312
5"
"0:00.000
Z","999337
2",,1875,,,"34606e-
36",,,,
"2019-09-
16T13:5
2:00.000
Z","0.02123
728000
000119",400,"0.00723
266601
5625",398,227,233,"2.29221
398410
34606e-
36",2.28125,"2.23437
5","2.48437
5"
"2019-09-
16T13:5
4:00.000
Z","0.02138
162000
000011",400,"0.00787
353515
625",400,230,233,232,2.21875,"2.20312
5","2.67187
5"
"2019-09-
16T13:5
5:00.000
Z","0.04241
400000
000431",398,"0.00753
784179
6875",398,228,233,231,2.25,2.375,2.25
"2019-09-
16T13:5
7:00.000
Z",0,398,"0.00753
784179
6875",398,228,233,231,2.25,2.375,2.25
"2019-09-
16T13:5
9:00.000
Z","0.02101
360000
000568",400,"0.00778
198242
1875",400,230,233,231,"2.26562
5",2.25,2.625
"2019-09-
16T14:0
0:00.000
Z","0.02146
259999
999893",402,"0.00817
871093
75",400,231,233,231,"2.26562
5",2.3125,2.25
"2019-09-
16T14:0
2:00.000
Z","0.02117
861999
99915",402,"0.00787
353515
625",402,232,234,232,"2.17187
5",2.21875,2.46875
"2019-09-
16T14:0
4:00.000
Z","0.02110
886000
000755
3",402,"0.00836
181640
625",402,231,233,231,"2.20312
5",2.25,2.5625
